vial,cage,cagediet,assaydiet,sample,age,wtnumber,ebnumber,totalnumber,reproductiveperformance
148,3b,3,0.4,3,56,3,142,145,0.020689655
149,3b,3,0.4,1,7,161,0,161,1
149,3b,3,0.4,2,28,142,32,174,0.816091954
149,3b,3,0.4,3,56,0,156,156,0
150,3b,3,0.4,1,7,160,0,160,1
150,3b,3,0.4,2,28,94,52,146,0.643835616
150,3b,3,0.4,3,56,6,168,174,0.034482759
151,3c,3,0.4,1,7,163,0,163,1
151,3c,3,0.4,2,28,134,41,175,0.765714286
151,3c,3,0.4,3,56,0,174,174,0
152,3c,3,0.4,1,7,149,0,149,1
152,3c,3,0.4,2,28,124,50,174,0.712643678
152,3c,3,0.4,3,56,6,170,176,0.034090909
153,3c,3,0.4,1,7,171,3,174,0.982758621
153,3c,3,0.4,2,28,118,35,153,0.77124183
153,3c,3,0.4,3,56,0,158,158,0
154,3d,3,0.4,1,7,160,3,163,0.981595092
154,3d,3,0.4,2,28,110,49,159,0.691823899
154,3d,3,0.4,3,56,0,152,152,0
155,3d,3,0.4,1,7,173,2,175,0.988571429
155,3d,3,0.4,2,28,94,62,156,0.602564103
155,3d,3,0.4,3,56,1,146,147,0.006802721
156,3d,3,0.4,1,7,163,0,163,1
156,3d,3,0.4,2,28,171,0,171,1
156,3d,3,0.4,3,56,4,169,173,0.023121387
169,3a,3,1,1,7,159,0,159,1
169,3a,3,1,2,28,156,20,176,0.886363636
169,3a,3,1,3,56,0,159,159,0
170,3a,3,1,1,7,151,0,151,1
170,3a,3,1,2,28,134,28,162,0.827160494
170,3a,3,1,3,56,1,176,177,0.005649718
171,3a,3,1,1,7,169,4,173,0.976878613
171,3a,3,1,2,28,150,20,170,0.882352941
171,3a,3,1,3,56,4,160,164,0.024390244
172,3b,3,1,1,7,168,2,170,0.988235294
172,3b,3,1,2,28,141,36,177,0.796610169
172,3b,3,1,3,56,3,168,171,0.01754386
173,3b,3,1,1,7,169,0,169,1
173,3b,3,1,2,28,132,17,149,0.88590604
173,3b,3,1,3,56,2,151,153,0.013071895
174,3b,3,1,1,7,181,0,181,1
174,3b,3,1,2,28,131,44,175,0.748571429
174,3b,3,1,3,56,1,170,171,0.005847953
175,3c,3,1,1,7,158,0,158,1
175,3c,3,1,2,28,134,29,163,0.82208589
175,3c,3,1,3,56,3,162,165,0.018181818
176,3c,3,1,1,7,159,2,161,0.98757764
176,3c,3,1,2,28,125,31,156,0.801282051
176,3c,3,1,3,56,5,150,155,0.032258065
177,3c,3,1,1,7,168,0,168,1
177,3c,3,1,2,28,118,30,148,0.797297297
177,3c,3,1,3,56,1,153,154,0.006493506
178,3d,3,1,1,7,151,0,151,1
178,3d,3,1,2,28,121,40,161,0.751552795
178,3d,3,1,3,56,5,160,165,0.03030303
179,3d,3,1,1,7,160,3,163,0.981595092
179,3d,3,1,2,28,137,36,173,0.791907514
179,3d,3,1,3,56,4,164,168,0.023809524
180,3d,3,1,1,7,155,0,155,1
180,3d,3,1,2,28,122,53,175,0.697142857
180,3d,3,1,3,56,0,156,156,0
193,3a,3,3,1,7,170,0,170,1
193,3a,3,3,2,28,120,34,154,0.779220779
193,3a,3,3,3,56,1,155,156,0.006410256
194,3a,3,3,1,7,171,0,171,1
194,3a,3,3,2,28,167,9,176,0.948863636
195,3a,3,3,1,7,152,1,153,0.993464052
195,3a,3,3,2,28,146,17,163,0.895705521
196,3b,3,3,1,7,174,0,174,1
196,3b,3,3,2,28,145,19,164,0.884146341
197,3b,3,3,1,7,172,3,175,0.982857143
197,3b,3,3,2,28,151,22,173,0.87283237
197,3b,3,3,3,56,4,161,165,0.024242424
198,3b,3,3,1,7,159,0,159,1
198,3b,3,3,2,28,162,8,170,0.952941176
199,3c,3,3,1,7,167,0,167,1
199,3c,3,3,2,28,127,27,154,0.824675325
199,3c,3,3,3,56,2,168,170,0.011764706
200,3c,3,3,1,7,166,0,166,1
200,3c,3,3,2,28,145,6,151,0.960264901
200,3c,3,3,3,56,4,148,152,0.026315789
201,3c,3,3,1,7,154,0,154,1
201,3c,3,3,2,28,158,12,170,0.929411765
202,3d,3,3,1,7,171,0,171,1
202,3d,3,3,2,28,156,12,168,0.928571429
202,3d,3,3,3,56,3,155,158,0.018987342
203,3d,3,3,1,7,159,1,160,0.99375
203,3d,3,3,2,28,148,19,167,0.886227545
203,3d,3,3,3,56,0,156,156,0
204,3d,3,3,1,7,171,0,171,1
204,3d,3,3,2,28,135,26,161,0.838509317
204,3d,3,3,3,56,5,158,163,0.030674847
