FID,Shelf_stack,Sex,Diet,Level,Size,Batch,P_day,P2_day,L_day,L2_day,ZP,ZP2,ZL,ZL2,Ln,Wt,CI
LR097,B2,F,2,75,L,7,0.067009,0.004490206,0.01469,0.000215796,1.543369779,1.507294392,0.574906716,0.210641221,NA,NA,NA
LR098,B2,M,1,75,S,7,0.03051,0.00093086,0.0029832,8.90E-06,-0.404199372,-0.454270259,-0.983064755,-0.766798445,NA,NA,NA
LR099,B2,M,4,75,L,7,0.0450192,0.002026728,0.0052884,2.80E-05,0.221502128,-0.03848401,-0.693076008,-0.681225725,46.5,1.34,-0.304690276
LR100,B2,F,3,50,L,7,0.04515,0.002038522,0.0179375,0.000321754,0.431933887,0.16835616,0.988091258,0.6518479,46,1.43,-0.227768681
LR101,B3,F,4,50,L,7,0.03652,0.00133371,0.00429,1.84E-05,-0.0068644,-0.216562831,-0.748301671,-0.611294119,54.5,2.43,0.115544606
LR102,B3,M,4,100,S,7,0.05312,0.002821734,0.00624,3.89E-05,0.570844801,0.263151371,-0.573366962,-0.631992416,53,2.18,0.037741803
LR103,B3,F,4,75,S,7,0.0450192,0.002026728,0.0052884,2.80E-05,0.425283271,0.161915103,-0.621273666,-0.571473591,NA,NA,NA
LR104,B3,F,2,75,L,7,0.067009,0.004490206,0.01469,0.000215796,1.543369779,1.507294392,0.574906716,0.210641221,60.5,2.42,-0.003705215
LR105,B3,F,2,75,L,7,0.067009,0.004490206,0.01469,0.000215796,1.543369779,1.507294392,0.574906716,0.210641221,61.5,2.88,0.152246807
LR106,B3,M,4,75,S,7,0.040017067,0.001601366,0.0047008,2.21E-05,0.005787814,-0.19987176,-0.766994708,-0.707567951,NA,NA,NA
LR107,B3,F,5,75,L,7,0.0329056,0.001082779,0.0202496,0.000410046,-0.190641054,-0.353603783,1.282263384,1.019493761,58,2.46,0.059205624
LR108,B3,F,2,100,L,7,0.08895,0.007912102,0.0195,0.00038025,2.658975018,3.376094523,1.186890595,0.895423901,62,2.91,0.15368412
LR109,C1,M,5,50,S,7,0.01638,0.000268304,0.01008,0.000101606,-1.013548074,-0.705652428,-0.090303978,-0.350747181,54.5,2.39,0.098946715
LR110,C1,F,2,100,S,7,0.07116,0.005063746,0.0156,0.00024336,1.75443023,1.820521804,0.69068745,0.325417084,64.5,3.81,0.37958578
LR111,C1,M,3,75,S,7,0.0544208,0.002961623,0.021620667,0.000467453,0.626941106,0.316227036,1.361484834,1.2911126,56,2.91,0.265878166
LR112,C1,F,1,100,S,7,0.0405,0.00164025,0.00396,1.57E-05,0.195501438,-0.049152135,-0.790288091,-0.622630547,NA,NA,NA
LR113,C1,M,1,100,S,7,0.0405,0.00164025,0.00396,1.57E-05,0.026614042,-0.185118676,-0.860185609,-0.736361431,50,2.43,0.210537419
LR114,C1,F,4,75,L,7,0.055023467,0.003027582,0.0064636,4.18E-05,0.933957109,0.708511518,-0.471751118,-0.51396532,60,3.26,0.303402128
LR115,C1,F,2,50,L,7,0.044475,0.001978026,0.00975,9.51E-05,0.397613048,0.135317479,-0.053617268,-0.292090302,57.5,2.73,0.172889579
LR116,C1,F,3,50,L,7,0.04515,0.002038522,0.0179375,0.000321754,0.431933887,0.16835616,0.988091258,0.6518479,NA,NA,NA
LR117,C1,M,3,50,S,7,0.03612,0.001304654,0.01435,0.000205923,-0.162271118,-0.312448064,0.446851996,0.117409963,NA,NA,NA
LR118,C1,M,3,100,S,7,0.07224,0.005218618,0.0287,0.00082369,1.395384588,1.172559628,2.252048304,2.889844319,NA,NA,NA
LR119,C2,F,2,50,S,7,0.03558,0.001265936,0.0078,6.08E-05,-0.054659346,-0.253576247,-0.30171884,-0.434592006,59,2.82,0.176938136
LR120,C2,F,1,75,S,7,0.03051,0.00093086,0.0029832,8.90E-06,-0.312446984,-0.43657131,-0.914567894,-0.650871139,50,1.64,-0.182657597
LR121,C2,F,1,100,L,7,0.07902,0.00624416,0.0077264,5.97E-05,2.154077337,2.465181325,-0.311083084,-0.439350183,62.5,3.1,0.208079368
LR122,C2,F,4,100,L,7,0.07304,0.005334842,0.00858,7.36E-05,1.850020123,1.968575468,-0.202478211,-0.38139137,52.5,2.04,-0.018184941
LR123,C2,M,5,50,S,7,0.01638,0.000268304,0.01008,0.000101606,-1.013548074,-0.705652428,-0.090303978,-0.350747181,NA,NA,NA
