FID,Shelf_stack,Sex,Diet,Level,Size,Batch,P_day,P2_day,L_day,L2_day,ZP,ZP2,ZL,ZL2,Ln,Wt,CI
LR071,B2,M,4,75,S,4,0.028046567,0.00078661,0.003294627,1.09E-05,-0.511015199,-0.509402633,-0.944525883,-0.75723867,43,1.04,-0.048007387
LR072,B2,M,2,75,S,4,0.053104478,0.002820086,0.011641791,0.000135531,0.56777097,0.260157397,0.106092455,-0.198197932,39,0.77,-0.058203363
LR073,B2,M,3,100,S,4,0.06145791,0.003777075,0.024416418,0.000596161,0.927400586,0.622325666,1.713974773,1.867988933,NA,NA,NA
LR074,B2,F,1,50,S,4,0.0135,0.00018225,0.00132,1.74E-06,-1.179987704,-0.84803858,-1.126365668,-0.68163914,NA,NA,NA
LR075,B3,F,3,100,L,4,0.06145791,0.003777075,0.024416418,0.000596161,1.258860656,1.116952951,1.808545854,1.790767362,47.5,1.55,0.055012875
LR076,B3,F,5,100,L,4,0.04368,0.001907942,0.02688,0.000722534,0.354784005,0.095253559,2.121598519,2.316397222,46,1.99,0.400327402
LR077,B3,M,4,50,S,4,0.018829851,0.000354563,0.00221194,4.89E-06,-0.907810676,-0.672908916,-1.080798612,-0.78419693,46.5,1.52,0.098750028
LR078,B3,M,1,50,S,4,0.0135,0.00018225,0.00132,1.74E-06,-1.137269929,-0.738120011,-1.193062912,-0.798326467,NA,NA,NA
LR079,B3,F,3,50,L,4,0.030728955,0.000944269,0.012208209,0.00014904,-0.303827575,-0.431506236,0.257222473,-0.068966509,56.5,2.59,0.052371767
LR080,B3,F,5,75,S,4,0.016298507,0.000265641,0.010029851,0.000100598,-1.037672616,-0.802455663,-0.019586164,-0.270453865,54.5,1.77,-0.221119106
LR081,B3,F,2,75,L,4,0.037571418,0.001411611,0.008236567,6.78E-05,0.044138583,-0.176049275,-0.24746262,-0.40687231,56,2.2,-0.084391864
LR082,B3,F,3,75,L,4,0.045823881,0.002099828,0.018205224,0.00033143,0.463808787,0.20014166,1.019276071,0.689657802,56.5,2.4,-0.023817372
