FID,Family,Stack_shelf,Diet,Level,Size,P_day,P2_day,L_day,L2_day,Days_breeding,Number_clutches,mean_number,Total_egg
LR177,F118,D2,5,75,S,0.01638,0.000268304,0.01008,0.000101606,73,9,98.11111111,883
LR181,F118,D2,5,100,S,0.025816647,0.000666499,0.015887168,0.000252402,135,11,84.4,844
LR183,F121,D3,5,75,L,0.032683636,0.00106822,0.020113007,0.000404533,120,16,139.2,2088
LR191,F121,D3,5,100,S,0.024532603,0.000601849,0.015096986,0.000227919,122,17,113.4705882,1929
LR260,F122,D1,2,100,L,0.077867705,0.006063379,0.017070492,0.000291402,84,10,155.8571429,1091
LR261,F122,D1,1,75,L,0.032427835,0.001051564,0.003170722,1.01E-05,64,3,42,126
LR262,F122,D1,2,100,S,0.057904706,0.003352955,0.012694118,0.000161141,72,5,118.2,591
LR393,F129,D2,2,50,S,0.03150759,0.000992728,0.006907229,4.77E-05,144,19,111.8666667,1678
LR396,F129,D2,1,75,S,0.020509615,0.000420644,0.002005385,4.02E-06,53,6,128.6666667,772
LR398,F129,D2,1,100,S,0.03470339,0.001204325,0.00339322,1.15E-05,192,12,112.6363636,1239
LR207,F121,D2,3,100,S,0.07224,0.005218618,0.0287,0.00082369,126,19,147.6666667,2215
LR212,F121,D3,3,75,S,0.053863158,0.00290124,0.021399123,0.000457922,0,1,NA,NA
LR213,F121,D3,2,75,S,0.047039816,0.002212744,0.01031227,0.000106343,140,22,121.0454545,2663
LR215,F115,D3,5,75,L,0.032621772,0.00106418,0.020074937,0.000403003,57,3,86,258
LR216,F121,D3,3,50,S,0.03612,0.001304654,0.01435,0.000205923,75,7,144.3333333,866
LR217,F121,E1,2,100,L,0.080227161,0.006436397,0.017587742,0.000309329,133,9,127,1016
LR219,F121,E1,3,100,L,0.078682456,0.006190929,0.031259503,0.000977157,164,12,158.8,1588
LR220,F121,E1,3,75,S,0.053839245,0.002898664,0.021389623,0.000457516,31,2,101,101
LR223,F121,E1,4,50,S,0.024529784,0.00060171,0.002881511,8.30E-06,110,10,57.5,575
LR225,F121,E2,3,75,L,0.058827018,0.003460618,0.023371199,0.000546213,165,12,171.5454545,1887
LR228,F121,E2,1,100,L,0.041638554,0.001733769,0.004071325,1.66E-05,28,3,104.5,209
LR229,F121,E2,4,75,S,0.037431373,0.001401108,0.004397059,1.93E-05,147,10,80.7,807
LR027,F120,E2,3,100,L,0.07224,0.005218618,0.0287,0.00082369,99,11,130.7272727,1438
LR231,F121,E2,5,50,L,0.02184,0.000476986,0.01344,0.000180634,111,9,98.85714286,692
LR233,F122,E3,4,100,L,0.064463333,0.004155521,0.0075725,5.73E-05,94,8,89.125,713
LR234,F122,E3,5,50,L,0.02184,0.000476986,0.01344,0.000180634,136,7,125.1666667,751
LR236,F122,E3,4,75,L,0.046037333,0.002119436,0.005408,2.92E-05,31,4,47.75,191
LR237,F122,E3,3,75,S,0.05418,0.002935472,0.021525,0.000463326,100,12,147.3,1473
LR240,F122,E3,2,50,S,0.030339535,0.000920487,0.006651163,4.42E-05,43,4,59.5,238
LR241,F121,E1,1,100,L,0.054,0.002916,0.00528,2.79E-05,165,19,136.8421053,2600
