"Flag","Flags"
"A","Aggregate, may include official, semi-official, estimated or calculated data"
"Fc","Calculated data"
"M","Data not available"
"F","FAO estimate"
"","Official data"
"S","Standardized data"
"SD","Statistical Discrepancy"
